源文件,状态,检测数,删除实体,插入字段,输出,备注
input_real/圆柱齿轮65×1(1).dxf,ok,1,0,"TITLE,SCALE,MATERIAL",output_dwg\圆柱齿轮65×1(1)_HH.dwg,AutoCAD COM 直接处理
input_real/圆柱齿轮13×1(2).dxf,ok,1,0,"TITLE,SCALE,MATERIAL",output_dwg\圆柱齿轮13×1(2)_HH.dwg,AutoCAD COM 直接处理
